Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwi	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1649	104	104	72	0.1002	0.000389997	1649	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j-	3.32	0.0401697	True	1.798076868057251	1.798076868057251	1.8000030517578125
				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTDim3Size60VoxelSizeDim3C2__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTDim3Size60VoxelSizeDim3C2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	104	104	60	0.1002	0.000389997	5	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j-	3.32	0.0401697	True	1.798076868057251	1.798076868057251	2.4000015258789062
				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTOblique__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTOblique	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1037	104	104	72	0.1002	0.000414993	1037	90	False	LAS+	fmap		0	1.0	True	2.0	1.0	j-	3.32	0.0427443	True	1.798076868057251	1.798076868057251	1.7999974489212036
VARIANTEchoTimeC0EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC0TotalReadoutTimeC1Dim1Size96Dim2Size96VoxelSizeDim1C1VoxelSizeDim2C1VoxelSizeDim3C4				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1a__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1a	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279	96	96	72	0.0762	0.00071998	279	90	False	LAS+	fmap		0	1.0	False		0.75	j-	3.11	0.0683981	True	2.0	2.0	2.0
VARIANTEchoTimeC0EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC0TotalReadoutTimeC1Dim1Size96Dim2Size96ObliquityTrueVoxelSizeDim1C1VoxelSizeDim2C1VoxelSizeDim3C4				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1b__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1b	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	96	96	72	0.0762	0.00071998	11	90	False	LAS+	fmap		0	1.0	True		0.75	j-	3.11	0.0683981	True	2.0	2.0	2.000002861022949
VARIANTEchoTimeC2EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC1TotalReadoutTimeC2Dim1Size140Dim2Size140Dim3Size81NumVolumes2VoxelSizeDim1C2VoxelSizeDim2C2VoxelSizeDim3C1				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2a__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2a	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54	140	140	81	0.089	0.000669999	54	90	False	LAS+	fmap		0	2.0	False		0.75	j-	4.1	0.0931298	True	1.7142857313156128	1.7142857313156128	1.7000007629394531
VARIANTEchoTimeC2EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC1TotalReadoutTimeC2Dim1Size140Dim2Size140Dim3Size81NumVolumes2ObliquityTrueVoxelSizeDim1C2VoxelSizeDim2C2VoxelSizeDim3C1				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2b__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2b	1								1	140	140	81	0.089	0.000669999	1	90	False	LAS+	fmap		0	2.0	True		0.75	j-	4.1	0.0931298	True	1.7142857313156128	1.7142857313156128	1.6999999284744265
VARIANTEffectiveEchoSpacingC2RepetitionTimeC3TotalReadoutTimeC3ObliquityTrue				datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar3__1	datatype-fmap_direction-AP_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar3	1								1	104	104	72	0.1002	0.000478854	1	90	False	LAS+	fmap		0	1.0	True	2.0	1.0	j-	3.44	0.0493219	True	1.798076868057251	1.798076868057251	1.8000038862228394
				datatype-fmap_direction-AP_fmap-epi_run-2_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-AP_fmap-epi_run-2_suffix-epi_acquisition-dwi	1								1	104	104	72	0.1002	0.000389997	1	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j-	3.32	0.0401697	True	1.798076868057251	1.798076868057251	1.7999992370605469
				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwi__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwi	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1649	104	104	72	0.1002	0.000389997	1649	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j	3.32	0.0401697	True	1.798076868057251	1.798076868057251	1.8000030517578125
				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTDim3Size60VoxelSizeDim3C2__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTDim3Size60VoxelSizeDim3C2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	104	104	60	0.1002	0.000389997	5	90	False	LAS+	fmap		0	1.0	False	2.0	1.0	j	3.32	0.0401697	True	1.798076868057251	1.798076868057251	2.4000015258789062
				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTOblique__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTOblique	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1037	104	104	72	0.1002	0.000414993	1037	90	False	LAS+	fmap		0	1.0	True	2.0	1.0	j	3.32	0.0427443	True	1.798076868057251	1.798076868057251	1.7999974489212036
VARIANTEchoTimeC0EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC0TotalReadoutTimeC1Dim1Size96Dim2Size96VoxelSizeDim1C1VoxelSizeDim2C1VoxelSizeDim3C4				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1a__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1a	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279	96	96	72	0.0762	0.00071998	279	90	False	LAS+	fmap		0	1.0	False		0.75	j	3.11	0.0683981	True	2.0	2.0	2.0
VARIANTEchoTimeC0EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC0TotalReadoutTimeC1Dim1Size96Dim2Size96ObliquityTrueVoxelSizeDim1C1VoxelSizeDim2C1VoxelSizeDim3C4				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1b__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar1b	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	96	96	72	0.0762	0.00071998	11	90	False	LAS+	fmap		0	1.0	True		0.75	j	3.11	0.0683981	True	2.0	2.0	2.000002861022949
VARIANTEchoTimeC2EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC1TotalReadoutTimeC2Dim1Size140Dim2Size140Dim3Size81NumVolumes2VoxelSizeDim1C2VoxelSizeDim2C2VoxelSizeDim3C1				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2a__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2a	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54	140	140	81	0.089	0.000669999	54	90	False	LAS+	fmap		0	2.0	False		0.75	j	4.1	0.0931298	True	1.7142857313156128	1.7142857313156128	1.7000007629394531
VARIANTEchoTimeC2EffectiveEchoSpacingC1ParallelReductionFactorInPlanenanPartialFourier0p75RepetitionTimeC1TotalReadoutTimeC2Dim1Size140Dim2Size140Dim3Size81NumVolumes2ObliquityTrueVoxelSizeDim1C2VoxelSizeDim2C2VoxelSizeDim3C1				datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2b__1	datatype-fmap_direction-PA_fmap-epi_run-1_suffix-epi_acquisition-dwiVARIANTVar2b	1								1	140	140	81	0.089	0.000669999	1	90	False	LAS+	fmap		0	2.0	True		0.75	j	4.1	0.0931298	True	1.7142857313156128	1.7142857313156128	1.6999999284744265
